Date,Open,High,Low,Close,Volume
"Monday, January 4, 2010",30.5,30.64,30.34,30.57,17633150
"Tuesday, January 5, 2010",30.68,30.8,30.46,30.63,21496572
"Wednesday, January 6, 2010",30.63,30.75,30.11,30.14,19719942
"Thursday, January 7, 2010",30.24,30.29,29.86,30.08,17040332
"Friday, January 8, 2010",30.06,30.29,29.87,30.28,15995583
"Monday, January 11, 2010",30.42,30.43,29.78,30.02,16508195
"Tuesday, January 12, 2010",29.9,29.97,29.49,29.67,21230682
"Wednesday, January 13, 2010",29.73,30.13,29.16,30.09,21638904
"Thursday, January 14, 2010",30.01,30.07,29.86,29.92,15469773
"Friday, January 15, 2010",30.2,30.23,29.41,29.42,21226296
"Tuesday, January 19, 2010",29.77,30.74,29.61,30.72,26071660
"Wednesday, January 20, 2010",30.7,30.79,29.93,30.25,21862556
"Thursday, January 21, 2010",30.33,30.47,29.6,29.72,21719796
"Friday, January 22, 2010",29.54,29.64,28.17,28.25,31491696
"Monday, January 25, 2010",28.98,29.24,28.6,29.01,38060688
"Tuesday, January 26, 2010",29.41,30.53,28.94,29.42,66682496
"Wednesday, January 27, 2010",29.54,30.08,28.5,29.7,61520288
"Thursday, January 28, 2010",29.33,29.36,28.39,28.47,41910768
"Friday, January 29, 2010",28.76,28.89,27.18,27.44,44498256
"Monday, February 1, 2010",27.51,28,27.33,27.82,26781204
"Tuesday, February 2, 2010",27.99,28.05,27.63,27.98,24940760
"Wednesday, February 3, 2010",27.89,28.6,27.77,28.46,21975968
"Thursday, February 4, 2010",28.12,28.34,27.37,27.44,27058966
"Friday, February 5, 2010",27.53,28,27.26,27.92,30368050
"Monday, February 8, 2010",27.95,28.27,27.71,27.73,17081016
"Tuesday, February 9, 2010",28.07,28.21,27.82,28.03,22603004
"Wednesday, February 10, 2010",27.97,28.09,27.75,27.87,13227174
"Thursday, February 11, 2010",27.83,28.54,27.72,28.38,19655128
"Friday, February 12, 2010",28.31,28.81,27.93,28.63,23409558
"Tuesday, February 16, 2010",28.88,29.1,28.79,29.06,19426824
"Wednesday, February 17, 2010",29.18,29.19,28.69,28.94,15585530
"Thursday, February 18, 2010",28.8,29.13,28.7,28.99,15100873
"Friday, February 19, 2010",28.84,29.03,28.73,28.81,14847638
"Monday, February 22, 2010",28.92,28.93,28.46,28.63,13958024
"Tuesday, February 23, 2010",28.56,28.76,27.96,28.15,20546888
"Wednesday, February 24, 2010",28.36,28.78,28.26,28.67,16448768
"Thursday, February 25, 2010",28.2,28.98,28.13,28.86,23764152
"Friday, February 26, 2010",28.92,29.31,28.86,29.23,18123580
"Monday, March 1, 2010",29.39,29.93,29.35,29.86,19646168
"Tuesday, March 2, 2010",30,30.12,29.68,29.84,20233736
"Wednesday, March 3, 2010",29.88,29.98,29.71,29.9,13294242
"Thursday, March 4, 2010",29.91,30.13,29.8,30.1,13072848
"Friday, March 5, 2010",30.71,31.39,30.66,31.28,32129228
"Monday, March 8, 2010",31.43,31.44,31.18,31.3,15353177
"Tuesday, March 9, 2010",31.16,32.14,31.13,31.86,32866380
"Wednesday, March 10, 2010",31.96,32.21,31.89,32.12,21293448
"Thursday, March 11, 2010",31.98,32.21,31.9,32.21,14489234
"Friday, March 12, 2010",32.44,32.53,32.25,32.37,14868660
"Monday, March 15, 2010",32.21,32.21,31.46,31.98,17625012
"Tuesday, March 16, 2010",32.03,32.14,31.79,32.06,15960948
"Wednesday, March 17, 2010",32.11,32.35,31.9,32.02,16105571
"Thursday, March 18, 2010",31.99,32.14,31.8,32.09,12218159
"Friday, March 19, 2010",32.17,32.18,31.6,31.75,19980164
"Monday, March 22, 2010",31.5,32.29,31.45,32.11,16300662
"Tuesday, March 23, 2010",32.24,32.68,32.01,32.62,21515312
"Wednesday, March 24, 2010",32.55,32.89,32.5,32.77,21367176
"Thursday, March 25, 2010",32.98,33,32.32,32.38,19402382
"Friday, March 26, 2010",32.71,33.14,32.65,32.99,22888304
"Monday, March 29, 2010",33.27,33.41,33.09,33.2,19312256
"Tuesday, March 30, 2010",33.81,33.93,33.46,33.69,18832476
"Wednesday, March 31, 2010",33.69,33.8,33.49,33.57,15380651
"Thursday, April 1, 2010",33.95,34.1,33.25,33.71,21540856
"Monday, April 5, 2010",33.57,34.07,33.54,34.07,24446616
"Tuesday, April 6, 2010",34.04,34.32,33.86,34.22,15964884
"Wednesday, April 7, 2010",34.25,34.56,34.09,34.37,22446432
"Thursday, April 8, 2010",34.34,34.51,34.01,34.28,20463804
"Friday, April 9, 2010",34.49,34.56,34.35,34.54,11935092
"Monday, April 12, 2010",34.7,34.72,34.54,34.61,11900548
"Tuesday, April 13, 2010",34.6,34.69,34.44,34.63,10936075
"Wednesday, April 14, 2010",35.02,35.12,34.87,35.1,14431222
"Thursday, April 15, 2010",35.14,35.58,35.07,35.56,13456560
"Friday, April 16, 2010",35.57,35.88,34.94,35.34,26805138
"Monday, April 19, 2010",35.22,35.41,34.54,35.3,20247212
"Tuesday, April 20, 2010",35.61,35.61,34.71,34.94,26368712
"Wednesday, April 21, 2010",36.89,37.18,36.53,37.03,35085400
"Thursday, April 22, 2010",36.88,38.11,36.6,38.07,28336544
"Friday, April 23, 2010",38.14,38.88,38.14,38.69,28462622
"Monday, April 26, 2010",38.85,38.92,38.31,38.5,17109572
"Tuesday, April 27, 2010",38.14,38.26,37.22,37.43,25333632
"Wednesday, April 28, 2010",37.57,37.71,36.63,37.37,27085710
"Thursday, April 29, 2010",37.58,38.57,37.43,38.38,19958536
"Friday, April 30, 2010",38.53,38.65,37.29,37.3,19373668
"Monday, May 3, 2010",37.77,38.27,37.55,38.05,16226433
"Tuesday, May 4, 2010",37.49,37.61,36.68,36.95,25850690
"Wednesday, May 5, 2010",36.13,36.88,35.53,36.57,31539398
"Thursday, May 6, 2010",36.29,36.89,28.46,35.18,45923556
"Friday, May 7, 2010",34.86,35.22,32.17,33.69,59857756
"Monday, May 10, 2010",35.88,36.38,35.5,36.28,35153744
"Tuesday, May 11, 2010",36,37.13,35.79,36.65,30369688
"Wednesday, May 12, 2010",37.09,37.59,36.96,37.44,23370624
"Thursday, May 13, 2010",37.61,37.86,36.63,36.91,21418218
"Friday, May 14, 2010",36.46,36.64,35.64,36.26,27120052
"Monday, May 17, 2010",36.31,36.6,35.39,36.32,27244036
"Tuesday, May 18, 2010",36.72,36.94,35.75,36.05,27952708
"Wednesday, May 19, 2010",35.64,36.13,34.98,35.48,36633056
"Thursday, May 20, 2010",34.49,34.84,33.74,33.97,45818392
"Friday, May 21, 2010",33.09,34.93,33.05,34.62,43710964
"Monday, May 24, 2010",35.32,35.84,35.18,35.25,26937336
"Tuesday, May 25, 2010",34.27,35.25,33.88,35.03,37429052
"Wednesday, May 26, 2010",35.74,36.02,34.82,34.87,30380592
"Thursday, May 27, 2010",35.82,36.27,35.59,36.19,23796476
"Friday, May 28, 2010",37.03,37.06,36.19,36.7,29129032
"Tuesday, June 1, 2010",37.1,37.99,36.99,37.26,31302626
"Wednesday, June 2, 2010",37.82,37.83,37.19,37.71,24590932
"Thursday, June 3, 2010",37.89,37.94,37.2,37.59,23219902
"Friday, June 4, 2010",36.92,37.41,36.38,36.57,27087206
"Monday, June 7, 2010",36.91,37.02,35.79,35.85,31677934
"Tuesday, June 8, 2010",36.2,36.26,35.09,35.62,35741716
"Wednesday, June 9, 2010",35.94,35.99,34.64,34.74,30522452
"Thursday, June 10, 2010",34.97,35.85,34.6,35.79,27726992
"Friday, June 11, 2010",35.45,36.27,35.34,36.22,19491412
"Monday, June 14, 2010",36.57,37.02,36.29,36.33,21534300
"Tuesday, June 15, 2010",36.52,37.12,36.5,37.1,20895472
"Wednesday, June 16, 2010",37.29,38.25,37.23,38.18,27988910
"Thursday, June 17, 2010",38.66,38.99,38.5,38.84,31195032
"Friday, June 18, 2010",38.89,39.29,38.77,39.15,28022136
"Monday, June 21, 2010",39.68,39.86,38.39,38.6,27731780
"Tuesday, June 22, 2010",38.89,39.42,38.79,39.12,25616428
"Wednesday, June 23, 2010",39.23,39.24,38.27,38.71,27444820
"Thursday, June 24, 2010",38.71,39.03,38.3,38.43,25540402
"Friday, June 25, 2010",38.57,38.61,37.97,38.1,19640752
"Monday, June 28, 2010",38.14,38.54,37.79,38.33,20908322
"Tuesday, June 29, 2010",37.75,37.77,36.33,36.6,40476592
"Wednesday, June 30, 2010",36.68,36.85,35.72,35.93,26409580
"Thursday, July 1, 2010",36.3,36.4,34.75,35.5,36534020
"Friday, July 2, 2010",35.79,35.85,34.74,35.28,24803484
"Tuesday, July 6, 2010",35.89,36.11,35.17,35.52,21972668
"Wednesday, July 7, 2010",35.8,36.97,35.68,36.95,23377116
"Thursday, July 8, 2010",37.51,37.56,36.41,36.87,26362524
"Friday, July 9, 2010",36.71,37.13,36.45,37.09,15484791
"Monday, July 12, 2010",36.93,37.41,36.41,36.76,20102748
"Tuesday, July 13, 2010",36.6,36.63,35.2,35.97,42534096
"Wednesday, July 14, 2010",35.64,36.54,35.57,36.1,29006112
"Thursday, July 15, 2010",35.47,36.71,35.33,35.92,29459408
"Friday, July 16, 2010",36.16,36.42,35.49,35.7,37137768
"Monday, July 19, 2010",35.68,35.7,34.23,35.08,36589212
"Tuesday, July 20, 2010",34.71,36.13,34.29,35.98,38391072
"Wednesday, July 21, 2010",37.86,37.88,36.29,36.32,42345344
"Thursday, July 22, 2010",36.82,37.14,36.47,37,23047046
"Friday, July 23, 2010",36.73,37.2,36.61,37.13,19049524
"Monday, July 26, 2010",37.14,37.16,36.82,37.04,14425233
"Tuesday, July 27, 2010",37.24,37.83,37.19,37.73,20884664
"Wednesday, July 28, 2010",37.67,38,37.18,37.28,18570870
"Thursday, July 29, 2010",37.24,37.52,36.59,36.87,22993056
"Friday, July 30, 2010",36.57,37.1,36.41,36.75,16016280
"Monday, August 2, 2010",37.21,37.51,37.09,37.41,15288718
"Tuesday, August 3, 2010",37.29,37.61,37.06,37.42,14916174
"Wednesday, August 4, 2010",37.52,37.75,37.19,37.57,15019868
"Thursday, August 5, 2010",37.35,37.6,37.22,37.39,10334374
"Friday, August 6, 2010",37.1,37.36,36.8,37.16,15893330
"Monday, August 9, 2010",37.36,37.45,37.08,37.39,10825908
"Tuesday, August 10, 2010",37.13,37.21,36.79,37.06,16139915
"Wednesday, August 11, 2010",36.45,36.53,35.69,35.74,22144724
"Thursday, August 12, 2010",35.24,36.16,35.16,35.97,19104262
"Friday, August 13, 2010",35.86,35.98,35.58,35.59,12673805
"Monday, August 16, 2010",35.39,35.72,35.23,35.38,11372407
"Tuesday, August 17, 2010",35.73,36.38,35.6,36,15094603
"Wednesday, August 18, 2010",36.05,36.38,35.94,36.15,12131989
"Thursday, August 19, 2010",36.12,36.21,35.53,35.7,15239461
"Friday, August 20, 2010",35.63,36.27,35.57,35.66,13722458
"Monday, August 23, 2010",35.96,36,35.04,35.11,14788116
"Tuesday, August 24, 2010",34.71,34.71,34.09,34.28,21519744
"Wednesday, August 25, 2010",34,34.86,33.89,34.7,21316604
"Thursday, August 26, 2010",35.07,35.11,34.33,34.33,16660829
"Friday, August 27, 2010",34.5,34.66,33.65,34.52,19592368
"Monday, August 30, 2010",34.39,35.11,34.38,34.64,13688842
"Tuesday, August 31, 2010",34.55,34.94,34.34,34.73,15028086
"Wednesday, September 1, 2010",35.36,35.92,35.18,35.76,24894116
"Thursday, September 2, 2010",35.91,36.02,35.51,36.02,14836614
"Friday, September 3, 2010",36.42,36.97,36.36,36.97,18599580
"Tuesday, September 7, 2010",36.64,37.08,36.61,36.83,12243759
"Wednesday, September 8, 2010",37.11,37.77,37.01,37.56,18805302
"Thursday, September 9, 2010",37.86,38.07,37.56,37.58,15663371
"Friday, September 10, 2010",37.6,37.79,37.34,37.63,13848617
"Monday, September 13, 2010",37.99,38.33,37.97,38.15,13884995
"Tuesday, September 14, 2010",38.02,38.45,37.93,38.29,14576759
"Wednesday, September 15, 2010",38.29,38.63,38.26,38.6,15334510
"Thursday, September 16, 2010",38.61,39.52,38.5,39.51,23289340
"Friday, September 17, 2010",39.67,39.71,39.1,39.34,22659812
"Monday, September 20, 2010",39.44,40.54,39.41,40.46,23546120
"Tuesday, September 21, 2010",40.55,41.05,40.4,40.54,23916984
"Wednesday, September 22, 2010",40.39,41.14,40.34,41.11,20907682
"Thursday, September 23, 2010",40.92,41.82,40.86,41.27,28075552
"Friday, September 24, 2010",41.73,41.93,41.51,41.76,23195972
"Monday, September 27, 2010",42,42.1,41.57,41.59,17253560
"Tuesday, September 28, 2010",41.67,41.68,39.29,40.98,36965772
"Wednesday, September 29, 2010",41.02,41.4,40.86,41.05,16772944
"Thursday, September 30, 2010",41.29,41.43,40.18,40.54,24049636
"Friday, October 1, 2010",40.91,40.94,40.19,40.36,16014492
"Monday, October 4, 2010",40.24,40.41,39.68,39.81,15546424
"Tuesday, October 5, 2010",40.34,41.35,40.26,41.28,17927350
"Wednesday, October 6, 2010",41.37,41.71,40.75,41.18,20478116
"Thursday, October 7, 2010",41.49,41.5,40.99,41.32,14585611
"Friday, October 8, 2010",41.7,42.07,41.43,42.01,23514402
"Monday, October 11, 2010",42.11,42.46,42.09,42.19,15276819
"Tuesday, October 12, 2010",42.2,42.79,41.78,42.65,19947808
"Wednesday, October 13, 2010",42.86,43.14,42.83,42.88,22503228
"Thursday, October 14, 2010",43.1,43.21,42.91,43.19,15546275
"Friday, October 15, 2010",43.92,45,43.56,44.96,32935492
"Monday, October 18, 2010",45.5,45.57,44.9,45.43,39444912
"Tuesday, October 19, 2010",43.36,44.82,42.86,44.21,44027120
"Wednesday, October 20, 2010",44.14,44.89,43.84,44.36,25772290
"Thursday, October 21, 2010",44.62,44.96,43.83,44.22,19694904
"Friday, October 22, 2010",44.15,44.29,43.76,43.92,13313408
"Monday, October 25, 2010",44.16,44.51,44.06,44.12,14015428
"Tuesday, October 26, 2010",43.86,44.25,43.66,44.01,14033191
"Wednesday, October 27, 2010",43.95,44.27,43.66,43.98,14250010
"Thursday, October 28, 2010",43.99,44,42.99,43.61,19680220
"Friday, October 29, 2010",43.46,43.7,42.98,43,15375304
"Monday, November 1, 2010",43.23,43.66,43.17,43.45,15138893
"Tuesday, November 2, 2010",43.86,44.31,43.86,44.19,15497491
"Wednesday, November 3, 2010",44.48,44.7,44.08,44.69,18155264
"Thursday, November 4, 2010",45.02,45.74,45,45.47,22799492
"Friday, November 5, 2010",45.43,45.65,45.25,45.3,12901895
"Monday, November 8, 2010",45.28,45.68,45.25,45.52,10061901
"Tuesday, November 9, 2010",45.86,45.9,44.93,45.15,13704115
"Wednesday, November 10, 2010",45.23,45.54,44.79,45.43,13722339
"Thursday, November 11, 2010",45,45.49,44.89,45.24,12902919
"Friday, November 12, 2010",45.07,45.21,43.38,44,28423066
"Monday, November 15, 2010",44.07,44.36,43.75,43.86,14414422
"Tuesday, November 16, 2010",43.66,43.94,42.76,43.08,23533906
"Wednesday, November 17, 2010",43.01,43.43,42.54,42.93,17123200
"Thursday, November 18, 2010",43.64,44.24,43.53,44.06,17660348
"Friday, November 19, 2010",44,44.06,43.61,43.82,13744399
"Monday, November 22, 2010",43.81,44.77,43.7,44.77,14038356
"Tuesday, November 23, 2010",44.33,44.54,43.79,44.1,18551612
"Wednesday, November 24, 2010",44.57,45.06,44.54,44.97,14795448
"Friday, November 26, 2010",44.83,45.39,44.71,45,8490891
"Monday, November 29, 2010",45.18,45.35,44.48,45.27,15919985
"Tuesday, November 30, 2010",44.79,44.91,44.41,44.45,17923328
"Wednesday, December 1, 2010",45.11,45.39,45,45.2,16491096
"Thursday, December 2, 2010",45.36,45.57,44.98,45.45,16558988
"Friday, December 3, 2010",45.28,45.52,45.19,45.35,12227469
"Monday, December 6, 2010",45.51,46.05,45.49,45.74,16017161
"Tuesday, December 7, 2010",46.27,46.28,45.45,45.46,13980495
"Wednesday, December 8, 2010",45.68,45.86,45.3,45.86,11497643
"Thursday, December 9, 2010",46.02,46.07,45.57,45.68,10505218
